Date,Tweet,Username,Url
2022-11-28 10:38:33+00:00,@ChelseaFCW @ChelseaFC @ThreeUK Clear of men’s team,utd_kooo,https://twitter.com/utd_kooo/status/1597178125645119488
2022-11-28 10:36:27+00:00,Anyone else on Three getting random calls today? Unknown numbers? @ThreeUK,Mister_Kirby,https://twitter.com/Mister_Kirby/status/1597177594092621826
2022-11-28 10:32:03+00:00,@ChelseaFCW @ThreeUK When does the full video come out??🙏🏻❤️,lovinggkewis,https://twitter.com/lovinggkewis/status/1597176487014121474
2022-11-28 10:01:00+00:00,"Remembering those who came before and paving the way for the next generation. 💙
 
Celebrating women in football with @ThreeUK! 🤝",ChelseaFCW,https://twitter.com/ChelseaFCW/status/1597168673571192833
2022-11-28 09:31:32+00:00,@gingerjeffs @virginmedia @ThreeUK Cheers I’ll give them a look,castusthered,https://twitter.com/castusthered/status/1597161259438202881
2022-11-28 09:26:47+00:00,@castusthered @virginmedia Hahaha awful company. Anyone who uses them gets what they deserve. I just use a mobile @ThreeUK WiFi these days it’s £12 a month and steams absolutely fine and is more reliable.,gingerjeffs,https://twitter.com/gingerjeffs/status/1597160062878744576
2022-11-28 08:25:13+00:00,"@ThreeUK my iPhone 12 on 3 is randomly not accepting calls from people. If my screen is on, I see the little phone symbol flash in the corner in gray, but nothing else. Any idea why?",heyimdaf,https://twitter.com/heyimdaf/status/1597144571007619073
2022-11-28 03:16:01+00:00,@ThreeUK  don't go to this company  they take the piss out of you I had phone since January and had to large bills from debt collectors we had no emails or. Messages and the phone I don't even have anymore due to issues and I try cancelling it but then a large bill come again,lewis78644893,https://twitter.com/lewis78644893/status/1597066754748186625
2022-11-27 23:08:31+00:00,@ThreeUK What happened to 5G you promised the last few years? I drive around London the most I see is 3G yes “3G” WTF 4G and hardly any 5G.,StevenDebono,https://twitter.com/StevenDebono/status/1597004470130733058
2022-11-27 22:32:02+00:00,"@ThreeUK Thee Internet service sucks in London and Home Counties. Thee online signal check states repair work on the mast? 5 post codes checked, all the same default status. Worst mobile provider by a mile! Just go once and check signal status",PSartori4,https://twitter.com/PSartori4/status/1596995289465790465
2022-11-27 21:59:53+00:00,is the charge on the samsung S22 meant to be this bad or have @ThreeUK just sold me a dodgy handset???,ConnieHose,https://twitter.com/ConnieHose/status/1596987200285343745
2022-11-27 20:53:19+00:00,"@ThreeUK sort yer network out, for weeks now it takes several attempts to send texts as they keep failing to send and this is the state of yer internet speeds, beyond useless KA7 area https://t.co/n3oMiTaYFD",inferno1979,https://twitter.com/inferno1979/status/1596970445592748032
2022-11-27 20:52:34+00:00,What's happening @ThreeUK with my wi fi service SHOCKING,CaptScarlet4Q,https://twitter.com/CaptScarlet4Q/status/1596970259449147392
2022-11-27 20:22:50+00:00,Thanks for the great service @ThreeUK https://t.co/nciNZeBawr,olliedrapper,https://twitter.com/olliedrapper/status/1596962777649672192
2022-11-27 19:22:32+00:00,"@ThreeUK Every football game I cannot get more than 2mbps download, but 6mbps upload. An hour after a game I can get 7 to 10mbps download. Please explain. Am I paying for a service you can't supply?",ClownDodger,https://twitter.com/ClownDodger/status/1596947602066415617
2022-11-27 19:06:28+00:00,Hi @ThreeUK Your so-called “4G” in Macclesfield is a joke. https://t.co/lrzzKo2LZa,zhorakovsky,https://twitter.com/zhorakovsky/status/1596943555582627841
2022-11-27 18:37:38+00:00,@ThreeUKSupport @ThreeUK Your plug and play home broadband kicks @virginmedia arse for only £21 pm #whoooosh https://t.co/xwpKV3AhpE,MikeRobcharlton,https://twitter.com/MikeRobcharlton/status/1596936302229827585
2022-11-27 18:24:32+00:00,"I’m sure all mobile networks will try this, but when you leave @ThreeUK and get a letter saying that your credit will be returned to you in 14 days, what they omit to say is that unless you ask for it they don’t return it. Sneaky and unacceptable practice IMHO",timothyreynolds,https://twitter.com/timothyreynolds/status/1596933005687521280
2022-11-27 16:41:00+00:00,@ThreeUK Why does a new customer get a better deal than existing customer who has been with you 15 years? Why would I renew my contract with you?,dougiejay,https://twitter.com/dougiejay/status/1596906951064969218
2022-11-27 16:31:19+00:00,"@ThreeUKSupport 2/2  I wanted to cancel within 30 days of not happy with service. Emailed back I would be charged early term fee.
I don't feel its right, stuck paying for a service I don't get &amp; no help getting fixed. I had heard good things about @ThreeUK but never using again!",Will_vorine,https://twitter.com/Will_vorine/status/1596904512425324546
2022-11-27 15:40:25+00:00,Why is my upload faster than my download? CT21 5DQ @ThreeUK @ThreeUKSupport https://t.co/tGEjtZ71Kv,DjshaxS,https://twitter.com/DjshaxS/status/1596891701846896640
2022-11-27 15:29:46+00:00,@ThreeUK tried upgrading why is the s22 deal only available as an additional contract!,tasha26833458,https://twitter.com/tasha26833458/status/1596889022256672769
